Bydel,Køn,Aldersgruppe,Personer,Brutto,Kategori
Nørrebro,Kvinder,30-64 ,3719,300.000-399.999 kr.,6
Nørrebro,Kvinder,30-64 ,2440,400.000-499.999 kr.,7
Nørrebro,Kvinder,30-64 ,860,500.000-599.999 kr.,8
Nørrebro,Kvinder,30-64 ,283,600.000-699.999 kr.,9
Nørrebro,Kvinder,30-64 ,247,700.000 kr. og derover,10
Nørrebro,Kvinder,65 og derover,52,-49.999 kr.,1
Nørrebro,Kvinder,65 og derover,141,50.000-99.999 kr.,2
Nørrebro,Kvinder,65 og derover,500,100.000-149.999 kr.,3
Nørrebro,Kvinder,65 og derover,1387,150.000-199.999 kr.,4
Nørrebro,Kvinder,65 og derover,601,200.000-299.999 kr.,5
Nørrebro,Kvinder,65 og derover,210,300.000-399.999 kr.,6
Nørrebro,Kvinder,65 og derover,69,400.000-499.999 kr.,7
Nørrebro,Kvinder,65 og derover,22,500.000-599.999 kr.,8
Nørrebro,Kvinder,65 og derover,9,600.000-699.999 kr.,9
Nørrebro,Kvinder,65 og derover,13,700.000 kr. og derover,10
Vesterbro,Mænd,15-19 ,704,-49.999 kr.,1
Vesterbro,Mænd,15-19 ,94,50.000-99.999 kr.,2
Vesterbro,Mænd,15-19 ,38,100.000-149.999 kr.,3
Vesterbro,Mænd,15-19 ,13,150.000-199.999 kr.,4
Vesterbro,Mænd,15-19 ,5,200.000-299.999 kr.,5
Vesterbro,Mænd,15-19 ,1,300.000-399.999 kr.,6
Vesterbro,Mænd,20-29 ,552,-49.999 kr.,1
Vesterbro,Mænd,20-29 ,1114,50.000-99.999 kr.,2
Vesterbro,Mænd,20-29 ,1113,100.000-149.999 kr.,3
Vesterbro,Mænd,20-29 ,966,150.000-199.999 kr.,4
Vesterbro,Mænd,20-29 ,1091,200.000-299.999 kr.,5
Vesterbro,Mænd,20-29 ,858,300.000-399.999 kr.,6
Vesterbro,Mænd,20-29 ,404,400.000-499.999 kr.,7
Vesterbro,Mænd,20-29 ,148,500.000-599.999 kr.,8
Vesterbro,Mænd,20-29 ,55,600.000-699.999 kr.,9
Vesterbro,Mænd,20-29 ,34,700.000 kr. og derover,10
Vesterbro,Mænd,30-64 ,905,-49.999 kr.,1
Vesterbro,Mænd,30-64 ,505,50.000-99.999 kr.,2
Vesterbro,Mænd,30-64 ,1550,100.000-149.999 kr.,3
Vesterbro,Mænd,30-64 ,1388,150.000-199.999 kr.,4
Vesterbro,Mænd,30-64 ,2440,200.000-299.999 kr.,5
Vesterbro,Mænd,30-64 ,3043,300.000-399.999 kr.,6
Vesterbro,Mænd,30-64 ,2593,400.000-499.999 kr.,7
Vesterbro,Mænd,30-64 ,1519,500.000-599.999 kr.,8
Vesterbro,Mænd,30-64 ,833,600.000-699.999 kr.,9
Vesterbro,Mænd,30-64 ,1167,700.000 kr. og derover,10
Vesterbro,Mænd,65 og derover,17,-49.999 kr.,1
Vesterbro,Mænd,65 og derover,84,50.000-99.999 kr.,2
Vesterbro,Mænd,65 og derover,470,100.000-149.999 kr.,3
Vesterbro,Mænd,65 og derover,791,150.000-199.999 kr.,4
Vesterbro,Mænd,65 og derover,320,200.000-299.999 kr.,5
Vesterbro,Mænd,65 og derover,143,300.000-399.999 kr.,6
Vesterbro,Mænd,65 og derover,85,400.000-499.999 kr.,7
